Date,S&P GSCI
1984-01-03,0.0
1984-01-04,0.004483939344529508
1984-01-05,0.003477070805883775
1984-01-06,-0.0069301168030450055
1984-01-09,-0.0008015756670953778
1984-01-10,0.0036335661382915774
1984-01-11,-0.002256891781404091
1984-01-12,0.0010838630105878266
1984-01-13,0.002542054152146367
1984-01-16,-0.0017373109596034997
1984-01-17,0.003621773243491555
1984-01-18,0.001265427560761978
1984-01-19,-0.0005616697132105886
1984-01-20,-0.005807444119295568
1984-01-23,-0.005181864093843691
1984-01-24,0.004924749412784424
1984-01-25,-0.0023089505717911463
1984-01-26,0.0006140125888436376
1984-01-27,0.014915527485158453
1984-01-30,-0.007627194479869481
1984-01-31,-0.008670006847790845
1984-02-01,0.015978844146541604
1984-02-02,-0.009957653683785872
1984-02-03,-0.006814856037627437
1984-02-06,-0.006908984777892591
1984-02-07,-0.005146296711682208
1984-02-08,-0.0006705593948989064
1984-02-09,-0.01413917253102015
1984-02-10,-0.011376325101445817
1984-02-13,-0.01135978730291698
1984-02-14,-0.0027855032694750204
1984-02-15,0.006185183158369911
1984-02-16,0.00014871494703228016
1984-02-17,0.006096633098086945
1984-02-21,-0.0008375119347894255
1984-02-22,0.0058182927310050925
1984-02-23,-0.0011765551581011113
1984-02-24,0.008049076759010676
1984-02-27,0.011928511395504993
1984-02-28,-0.008468026067392054
1984-02-29,0.0060171073473720416
1984-03-01,0.003183428419854195
1984-03-02,0.007837315685629065
1984-03-05,0.008635072531478993
1984-03-06,0.003310930632412612
1984-03-07,-0.00494997085205795
1984-03-08,0.006680193084726005
1984-03-09,0.007294818726113705
1984-03-12,-0.0040181311743985315
1984-03-13,0.0015011836889220476
1984-03-14,-0.005246195827244171
1984-03-15,0.0024485769384416933
1984-03-16,-0.0055427341780462935
1984-03-19,0.0030230001858788658
1984-03-20,-0.002119200348936534
1984-03-21,0.003964188866801166
1984-03-22,0.009965192546991908
1984-03-23,0.004793813536120961
1984-03-26,0.0038445589578082195
1984-03-27,-0.0010151403629750089
1984-03-28,-0.0006004844471708681
1984-03-29,0.0032814471964222047
1984-03-30,0.0004606174861025991
1984-04-02,0.0036835946161584143
1984-04-03,0.003945318961408262
1984-04-04,0.0025589360627162883
1984-04-05,-0.011166804997260527
1984-04-06,-0.0034570177946530167
1984-04-09,-0.0010175819787628937
1984-04-10,-0.0021761331141798568
1984-04-11,-0.0028304980089088883
1984-04-12,-0.012052100565150381
1984-04-13,0.0039093864660124655
1984-04-16,0.0015482867223406416
1984-04-17,-0.0009368854972526819
1984-04-18,0.0028132922244425984
1984-04-19,0.0018235348508552907
1984-04-23,0.006720818063683298
1984-04-24,-0.004960556701752883
1984-04-25,-0.009225229191087259
1984-04-26,-0.004843634182271628
1984-04-27,-0.0021736672606168517
1984-04-30,-0.00208373950452434
1984-05-01,0.00223045376794051
1984-05-02,0.0078602379038748
1984-05-03,-0.0002819488638098333
1984-05-04,0.0033366546184925294
1984-05-07,-0.004637028071026061
1984-05-08,0.0009882204098425884
1984-05-09,0.004559990669127156
1984-05-10,0.0019186843437928314
1984-05-11,-0.0030826886655493935
1984-05-14,0.001311838343769356
1984-05-15,-0.003322135082406197
1984-05-16,0.012534614514811526
1984-05-17,0.002179160036460459
1984-05-18,0.00911404707994845
1984-05-21,0.0027508074314472886
1984-05-22,-0.004023431226687468
1984-05-23,-0.004039614574077088
1984-05-24,0.0007835461084286788
1984-05-25,-0.001611965622643985
1984-05-29,-0.007703654296287388
1984-05-30,-4.646230676197405e-05
1984-05-31,-0.002789428575036279
1984-06-01,-0.002797231251821075
1984-06-04,-0.00042074025459848396
1984-06-05,-0.0005612231352961627
1984-06-06,-0.002480222627365025
1984-06-07,-0.005864139512689381
1984-06-08,-0.005945966418999693
1984-06-11,-0.005791603399251222
1984-06-12,-0.0027693577450652596
1984-06-13,0.001915220899185055
1984-06-14,-0.0014814698140680482
1984-06-15,-0.00014357604549797287
1984-06-18,0.0015796363279396708
1984-06-19,0.005304915796266352
1984-06-20,-0.0025671905360256098
1984-06-21,-0.006720383578078026
1984-06-22,-0.006861769278609264
1984-06-25,0.002850636973526832
1984-06-26,-0.009009419633759674
1984-06-27,9.725447140596089e-05
1984-06-28,0.003500004561836967
1984-06-29,0.00760551944932053
1984-07-02,-0.01028845860407901
1984-07-03,-0.005489191098135504
1984-07-05,-0.0070824841425380924
1984-07-06,-4.9166208657802635e-05
1984-07-09,0.0012298912517603178
1984-07-10,-0.004029123953441793
1984-07-11,-0.008288074499627207
1984-07-12,-0.0008954727427342712
1984-07-13,-0.0017924746908772882
1984-07-16,-0.0005486862165592354
1984-07-17,-0.002744861038934898
1984-07-18,-0.0029026214082437107
1984-07-19,-0.002609939059044941
1984-07-20,-0.00427740588916159
1984-07-23,-0.010714080808118198
1984-07-24,-0.009859477270913186
1984-07-25,-0.005830176659328279
1984-07-26,-0.006123866934555355
1984-07-27,-0.005012748590747074
1984-07-30,0.0010495772502709944
1984-07-31,0.0010484767928817806
1984-08-01,0.014715881662754837
1984-08-02,0.01377992487944213
1984-08-03,0.0030545544259423796
1984-08-06,0.0018778618458092922
1984-08-07,0.0005572472834485254
1984-08-08,-0.0018226956628217827
1984-08-09,0.008927262592506757
1984-08-10,-0.003670056673309441
1984-08-13,-0.001866965036136592
1984-08-14,0.0060158862347377
1984-08-15,-0.0021105435625392577
1984-08-16,0.004884687338901239
1984-08-17,-0.008619399621141555
1984-08-20,-0.007228468489787199
1984-08-21,0.005804477724420387
1984-08-22,0.007593399063384965
1984-08-23,-0.002311050394866454
