Date,MSCI World
1972-01-03,0.0
1972-01-04,0.002876274339267404
1972-01-05,0.009560229584969049
1972-01-06,0.04924246830279122
1972-01-07,0.0009025132794842072
1972-01-10,-0.0036068667301646373
1972-01-11,0.004524886877828038
1972-01-12,0.0018017743084881577
1972-01-13,-0.0044964030010965494
1972-01-14,0.004516711958300945
1972-01-17,0.0035971361228102072
1972-01-18,0.0026881994252658803
1972-01-19,0.0
1972-01-20,0.0008936414008713367
1972-01-21,-0.0008928435189383688
1972-01-24,-0.008042908968779239
1972-01-25,0.0
1972-01-26,0.0
1972-01-27,0.009009009009008917
1972-01-28,0.006249972752162325
1972-01-31,0.0008873656275389941
1972-02-01,0.0
1972-02-02,0.005319135264967967
1972-02-03,0.0
1972-02-04,0.0
1972-02-07,-0.0017637087737699675
1972-02-08,0.0017668249384155121
1972-02-09,0.00529099176408887
1972-02-10,0.003508785314727314
1972-02-11,-0.0034965167879689174
1972-02-14,-0.004385964912280715
1972-02-15,0.004405286343612369
1972-02-16,0.004385964912280604
1972-02-17,0.002620113989151296
1972-02-18,0.0
1972-02-21,0.0008710668245888176
1972-02-22,0.0008703087275292454
1972-02-23,0.003478274138077442
1972-02-24,0.00346621768275468
1972-02-25,0.0060448784956363966
1972-02-28,0.0008583560010393398
1972-02-29,0.0025729250058643682
1972-03-01,0.004277159909953587
1972-03-02,0.0
1972-03-03,0.004258943726587416
1972-03-06,0.004240882048591521
1972-03-07,0.0016891633924385197
1972-03-08,0.0008431574654945706
1972-03-09,0.001684958574379225
1972-03-10,-0.00420521441197097
1972-03-13,-0.00675678244466027
1972-03-14,0.002551046391584988
1972-03-15,0.0016963269351466526
1972-03-16,-0.0008467271415164568
1972-03-17,0.002542398743710317
1972-03-20,-0.002535951344198706
1972-03-21,-0.004237288135593209
1972-03-22,0.00255321746176862
1972-03-23,0.00594224898224005
1972-03-24,-0.0025316713228507037
1972-03-27,0.0
1972-03-28,-0.0008460108012090517
1972-03-29,-0.0025401814245494814
1972-03-30,0.004244482063216148
1972-03-31,0.0
1972-04-03,0.0033811824697027593
1972-04-04,0.004212300024051485
1972-04-05,0.006711435169794333
1972-04-06,0.003333346048990826
1972-04-07,0.0024916563003432035
1972-04-10,-0.0008284877932844825
1972-04-11,0.000829174754447104
1972-04-12,0.006628028765409688
1972-04-13,0.0
1972-04-14,-0.0016460654176311262
1972-04-17,-0.0032976217297226995
1972-04-18,0.0016542344558976296
1972-04-19,-0.003303067967951989
1972-04-20,0.0
1972-04-21,-0.0008284877932844825
1972-04-24,-0.00580428654310805
1972-04-25,-0.005838236603238345
1972-04-26,-0.0016778267899539845
1972-04-27,0.0016806466238838969
1972-04-28,0.004194630979874159
1972-05-01,0.0
1972-05-02,-0.009189628255351856
1972-05-03,0.0
1972-05-04,0.0008431574654945706
1972-05-05,0.0025274057242699044
1972-05-08,-0.004201680672268893
1972-05-09,-0.010970489888251556
1972-05-10,0.004266211715183044
1972-05-11,0.00509775802100898
1972-05-12,0.005071838196475609
1972-05-15,0.005046244461069271
1972-05-16,0.0
1972-05-17,0.001673614629641662
1972-05-18,0.007518809931700066
1972-05-19,0.008291874068427907
1972-05-22,0.002467130390808814
1972-05-23,0.0008203320169759554
1972-05-24,0.0032787010317942844
1972-05-25,0.0024509429626098367
1972-05-26,0.0008150456886955038
1972-05-29,0.0008143198015959641
1972-05-30,-0.0032546909756927533
1972-05-31,-0.004897946727519087
1972-06-01,0.0
1972-06-02,0.0016406640339519107
1972-06-05,-0.004913992478454143
1972-06-06,-0.004115226337448541
1972-06-07,-0.004958665075380897
1972-06-08,-0.002491719667406578
1972-06-09,-0.003330570615828088
1972-06-12,0.0008354728994592886
1972-06-13,0.0025041353482575524
1972-06-14,0.004995824161066809
1972-06-15,-0.001656975586568965
1972-06-16,-0.0008298628557766863
1972-06-19,0.0008305521001144012
1972-06-20,0.003319514737584184
1972-06-21,0.0016542344558976296
1972-06-22,-0.0024772537253779925
1972-06-23,-0.0016556669915895883
1972-06-26,0.02321727269638929
1972-06-27,0.0008103603961473471
1972-06-28,-0.004048582995951455
1972-06-29,-0.001625991449123454
1972-06-30,-0.032573289092786784
1972-07-03,0.004208754100638812
1972-07-04,-0.0025146944181355657
1972-07-05,0.005042003984210952
1972-07-06,0.007525096466231451
1972-07-07,-0.0016597257115533726
1972-07-10,-0.002493790890668035
1972-07-11,-0.0033333460489909372
1972-07-12,-0.003344494406205656
1972-07-13,-0.0025167401849308657
1972-07-14,0.002523090147294793
1972-07-17,-0.004194630979874159
1972-07-18,-0.0008424471498907904
1972-07-19,0.003372694190769243
1972-07-20,-0.0016806466238838969
1972-07-21,0.004208754100638812
1972-07-24,0.007543955351735576
1972-07-25,0.0
1972-07-26,0.0008319975545314495
1972-07-27,-0.0016625484003576219
1972-07-28,0.0008326267726193048
1972-07-31,0.0024958657185905064
1972-08-01,0.007468892330945387
1972-08-02,0.00576603739245396
1972-08-03,0.006552031627808486
1972-08-04,0.0032546909756927533
1972-08-07,0.0
1972-08-08,0.0
1972-08-09,-0.0008110794893787521
1972-08-10,0.001623413819731967
1972-08-11,0.00648294499571378
1972-08-14,0.003220624281058626
1972-08-15,-0.0016051119638154088
1972-08-16,-0.0016077538198029373
1972-08-17,-0.001610281426379867
1972-08-18,0.002419379449659864
1972-08-21,-0.0008045543126332655
1972-08-22,0.00402576499424856
1972-08-23,0.0
1972-08-24,-0.004009623193555689
1972-08-25,-0.005636046420628316
1972-08-28,-0.0032388787520559736
1972-08-29,0.0
1972-08-30,0.0016247325760834208
