,S&P GSCI,GOLD,MSCI World
2008-09-29,15.49842599986575,,0.5847706271274733
2008-09-30,15.829635797521169,,0.8040653180390933
2008-10-01,15.345234242179862,,0.8331941792636854
2008-10-02,14.869640386369376,,0.5265879510679916
2008-10-03,14.716608322631997,,0.38018386952241023
2008-10-06,13.843217348915093,,-0.25908366043047026
2008-10-07,14.016561259519356,,-0.5766458110405437
2008-10-08,13.901693005643768,,-0.9810813411369357
2008-10-09,13.566705714235772,,-1.355616548935512
2008-10-10,12.63076180818783,,-1.805256865032423
2008-10-13,13.008521060241772,,-0.7817581795252493
2008-10-14,12.815693144016116,,-0.6207504419600274
2008-10-15,12.196403951863743,,-1.3783290983642948
2008-10-16,11.758620149620258,,-1.6372700198091894
2008-10-17,12.04505717480786,,-1.544174215144145
2008-10-20,12.17326770343574,,-1.2768205174865765
2008-10-21,11.897890587155292,,-1.4343964391732578
2008-10-22,11.436117328661965,,-2.253464848406972
2008-10-23,11.378718754945737,,-2.21895662205408
2008-10-24,10.937657128896383,,-2.674398177509707
2008-10-27,10.867991295989032,,-3.207967379798282
2008-10-28,10.827116985505626,,-2.491052199584609
2008-10-29,11.76405688919775,,-2.161111399355642
2008-10-30,11.329420502592956,,-1.9673151713703207
2008-10-31,11.615297624168353,,-2.014029946383711
2008-11-03,11.184014235761119,,-2.1658990951182067
2008-11-04,12.078861009043852,,-1.662292897301465
2008-11-05,11.469060887304083,,-1.8994443191297061
2008-11-06,10.80536628784139,,-2.407611767990092
2008-11-07,11.085442094703701,,-2.091666443987039
2008-11-10,11.36995270029928,,-1.9434144787419894
2008-11-11,10.805668420690262,,-2.2414008063924684
2008-11-12,10.461780522176745,,-2.8097661971684174
2008-11-13,10.68049595305991,,-2.604598142750403
2008-11-14,10.449271384731684,,-2.789028708543917
2008-11-17,10.326710158933006,,-3.07017731609901
2008-11-18,10.177974023508952,,-2.9311846883694703
2008-11-19,10.153933598165278,,-3.2515022564495455
2008-11-20,9.452236602106145,,-3.905999216439815
2008-11-21,9.529552877705004,,-3.706944990633143
2008-11-24,10.267974900203725,,-2.997521168814654
2008-11-25,9.801482201730781,,-2.9319125493366016
2008-11-26,10.301789022730024,,-2.87397928949068
2008-11-28,10.178509181882522,,-2.7097975727445767
2008-12-01,9.57905912235737,,-3.3752126305737873
2008-12-02,9.128807766069258,,-3.168707206649568
2008-12-03,8.981248383921736,,-2.9005012516558293
2008-12-04,8.278495915289795,,-3.0103161172490456
2008-12-05,7.864960309966462,,-2.9535801161355124
2008-12-08,8.756635457690765,,-2.2509791447691496
2008-12-09,8.709052215513235,,-2.334661234228541
2008-12-10,9.042322209328901,,-2.3833940899854134
2008-12-11,9.785238171929223,,-2.3817589614754553
2008-12-12,9.597666484674704,,-2.4760733815650693
2008-12-15,9.718108401295611,,-2.4414922446047815
2008-12-16,9.788507533087266,,-2.0657859900996334
2008-12-17,9.6484776123555,,-1.967263314328671
2008-12-18,9.263918146977268,,-2.0829058679663004
2008-12-19,9.59615113046073,,-2.381619547342362
2008-12-22,9.309454326710021,,-2.554499941733135
2008-12-23,9.251886748472305,,-2.5686550711118583
2008-12-24,8.815872228216094,,-2.5260107761099437
2008-12-26,9.16369997969555,,-2.419146494191249
2008-12-29,9.345573437167175,,-2.275162602148606
2008-12-30,9.388818145996659,,-2.048165615778952
2008-12-31,10.256665606846571,,-1.9763396254080856
2009-01-02,10.673614392625886,,-1.7746335275972025
2009-01-05,11.031168779278078,,-2.01782901062858
2009-01-06,10.983391649975637,,-1.9598720101713596
2009-01-07,10.163135148226598,,-2.130700450611145
2009-01-08,9.75229319746549,,-2.2271209272384462
